ppm,upper_Ip_mean,upper_Ip_std,upper_Ep_mean,upper_Ep_std,upper_Area_mean,upper_FWHM_mean,upper_skewness,upper_kurtosis,lower_Ip_mean,lower_Ip_std,lower_Ep_mean,lower_Ep_std,lower_Area_mean,lower_FWHM_mean,lower_skewness,lower_kurtosis
0,27.155655783008605,0.15795968017328385,-0.608822875,0.04199622908201848,5.598865122272651,,-1.1975849747505622,-0.06142263456820024,53.30535132885096,0.3521834118286156,-0.864021375,0.03391523103982006,11.364738640084271,,0.16842308245860405,-0.8380061385519008
0,24.296650019119717,0.1784524119103675,-0.6338422499999999,0.011118821821015892,5.01841789263235,,-1.3156404688722352,0.34379474248443853,49.473773057801196,0.8462665030987572,-0.890292,0.0,10.269432767740264,,0.1212419163672625,-0.7998456268467442
0,23.866447148088007,0.31213964840254577,-0.54627425,0.049520307616547576,4.913674313729772,,-1.1908918809623454,-0.0426835127962229,50.18128844792115,0.11675742624054077,-0.890292,0.0,10.92801374898654,,0.23648981147646408,-0.7916552431914136
0,16.634478941923664,0.5920195641491919,-0.6300889999999999,0.07234025951709046,3.5479737272968888,,-1.673636790309156,1.531693453558694,40.95669544108041,0.1512470527034164,-0.890292,0.0,8.609665516907956,,0.35817824496115636,-0.5747523873802546
0,16.349823359406567,0.4223383174205191,-0.508745,0.003309834890141808,3.402280143306488,,-1.6287791422771583,1.3404919649204874,40.58648791301405,0.09407486295236593,-0.890292,0.0,8.639646561940461,,0.4001023281909934,-0.5716557991247186
0,15.74268782929741,0.26187846772162204,-0.590058,0.08267765180506759,3.3664847924604784,,-1.6605112024183728,1.4321796485422509,39.4742213893353,0.0812202578938685,-0.890292,0.0,8.289546045121284,,0.3658204038083325,-0.6007433636281871
0,16.362027493078067,0.5122954773536509,-0.6526064999999999,0.05787010903523509,3.415589585344585,,-1.6324833687972886,1.4721536358227123,38.84181590440113,0.552617337136836,-0.890292,0.0,8.021587544129417,,0.3207875258572209,-0.6201930087413494
0,15.90981480078011,0.3755866344002848,-0.5487759999999999,0.07013241370436352,3.367363200324765,,-1.6203353398044587,1.279118488070024,39.29641944129236,0.14274362332980678,-0.890292,0.0,8.295464729045229,,0.3839024549963058,-0.5964658903848147
0,16.56299462835497,0.3913710465594706,-0.508745,0.003309834890141808,3.3107776338408907,,-1.525278659833138,1.0301078770941419,39.53367275333241,0.16703719480032855,-0.890292,0.0,8.42809831945537,,0.4161682396237126,-0.581390865394379
0,17.008142672132028,0.334384374234303,-0.508745,0.003309834890141808,3.2617666821887967,,-1.436188573121548,0.8457307831599135,39.60906938647635,0.15040292902648641,-0.890292,0.0,8.467101120289932,,0.4300322675117895,-0.5699623990765409
