Ip_mean,Ip_std,Ip_raw_mean,Ep_mean,Area_mean,n_valid,ppm,log_ppm,filename
27.155655783008605,0.15795968017328385,39.72482246969692,-0.608822875,5.621993438181625,8,0,,KCL_EMSTAT_01.xlsx
24.296650019119717,0.1784524119103675,37.14107454870124,-0.6338422499999999,5.0438347144085185,8,0,,KCL_EMSTAT_02.xlsx
23.866447148088007,0.31213964840254577,37.92944503318901,-0.54627425,4.936161222531999,8,0,,KCL_EMSTAT_03.xlsx
16.634478941923664,0.5920195641491919,31.840405863275574,-0.6300889999999999,3.5736019228339058,8,0,,KCL_EMSTAT_04.xlsx
16.349823359406567,0.4223383174205191,31.431452150252525,-0.508745,3.4262934166058496,8,0,,KCL_EMSTAT_05.xlsx
15.74268782929741,0.26187846772162204,30.52639354509376,-0.590058,3.390262813419786,8,0,,KCL_EMSTAT_06.xlsx
16.362027493078067,0.5122954773536509,30.90768400252521,-0.6526064999999999,3.439953186828906,8,0,,KCL_EMSTAT_07.xlsx
15.90981480078011,0.3755866344002848,30.593302018759005,-0.5487759999999999,3.390421906647064,8,0,,KCL_EMSTAT_08.xlsx
16.56299462835497,0.3913710465594706,31.138312204545443,-0.508745,3.332943801337435,8,0,,KCL_EMSTAT_09.xlsx
17.008142672132028,0.334384374234303,31.441259030303023,-0.508745,3.283261173177614,8,0,,KCL_EMSTAT_10.xlsx
17.532893269642855,0.30766495961616763,31.798756234848476,-0.508745,3.28807454740359,8,0,,KCL_EMSTAT_11.xlsx
17.654932225960493,0.3766841445313157,31.80315784090908,-0.508745,3.23657281855944,8,0,,KCL_EMSTAT_12.xlsx
17.842681257030122,0.218602823378111,31.60075009595959,-0.508745,3.3463397364288974,8,0,,KCL_EMSTAT_13.xlsx
17.591247019872835,0.2956506215414333,31.38996897474747,-0.508745,3.2325127104172275,8,0,,KCL_EMSTAT_14.xlsx
17.64907518869949,0.2880382018978931,31.402056593434335,-0.508745,3.194519541105656,8,0,,KCL_EMSTAT_15.xlsx
17.74737318727002,0.3334437476863749,31.459988328282826,-0.508745,3.1757541743038877,8,0,,KCL_EMSTAT_16.xlsx
17.880301708955614,0.32096982882512287,31.460131285353523,-0.508745,3.1871098481608864,8,0,,KCL_EMSTAT_17.xlsx
