Model,R²,R²_mean,RMSE (ppm),RMSE_mean,MAE (ppm),MAE_mean,MAPE (%),MAPE_mean
XGBoost,0.8232 ± 0.0289,0.8231733679771424,127.85 ± 5.27,127.84675564420179,69.99 ± 3.32,69.99374542236328,520.08 ± 60.15,520.0811572789388
Random Forest,0.8200 ± 0.0402,0.8199548491966333,128.69 ± 11.65,128.68979903423195,68.47 ± 3.31,68.47240399140212,501.46 ± 83.22,501.46179575790495
LightGBM,0.7958 ± 0.0631,0.7957909018447733,135.79 ± 15.38,135.78691959228487,82.78 ± 8.53,82.77596956915184,653.72 ± 98.85,653.7181666188452
Polynomial Reg (deg=3),0.4874 ± 0.1294,0.48738271446711146,216.46 ± 18.72,216.45718979432667,147.89 ± 9.81,147.88694021543103,1084.97 ± 194.52,1084.9743126065175
Linear Regression,0.4309 ± 0.0942,0.43086524809828913,229.61 ± 13.13,229.61043339491712,168.91 ± 7.10,168.909754765618,1133.98 ± 171.20,1133.9791848937539
Ridge Regression,0.4232 ± 0.0995,0.42319691703204504,231.04 ± 12.99,231.03520177094987,171.33 ± 6.68,171.32706669697032,1143.38 ± 178.23,1143.3827068198784
SVR (RBF),0.3635 ± 0.0982,0.36350164548505715,243.29 ± 19.10,243.29173510871897,120.97 ± 14.40,120.97263854449459,248.51 ± 34.13,248.51065954778818
