upper_Ip_mean,upper_Ip_std,upper_Ep_mean,upper_Ep_std,upper_Area_mean,upper_FWHM_mean,upper_skewness,upper_kurtosis,lower_Ip_mean,lower_Ip_std,lower_Ep_mean,lower_Ep_std,lower_Area_mean,lower_FWHM_mean,lower_skewness,lower_kurtosis,n_upper_valid,n_lower_valid,ppm,log1p_ppm,filename
27.155655783008605,0.15795968017328385,-0.608822875,0.04199622908201848,5.621993438181625,0.15511999999999992,-1.1975849747505622,-0.06142263456819941,53.30535132885096,0.3521834118286156,-0.864021375,0.03391523103982006,11.458850662407787,0.0,-0.16842308245860388,-0.8380061385519006,8,8,0,0.0,KCL_EMSTAT_01.xlsx
24.296650019119717,0.1784524119103675,-0.6338422499999999,0.011118821821015892,5.0438347144085185,0.15511999999999992,-1.3156404688722354,0.3437947424844384,49.473773057801196,0.8462665030987572,-0.890292,0.0,10.356469871313553,0.0,-0.12124191636726239,-0.7998456268467442,8,8,0,0.0,KCL_EMSTAT_02.xlsx
23.866447148088007,0.31213964840254577,-0.54627425,0.049520307616547576,4.936161222531999,0.15511999999999992,-1.1908918809623457,-0.042683512796222345,50.18128844792115,0.11675742624054077,-0.890292,0.0,11.018896374473211,0.0,-0.23648981147646425,-0.7916552431914137,8,8,0,0.0,KCL_EMSTAT_03.xlsx
16.634478941923664,0.5920195641491919,-0.6300889999999999,0.07234025951709046,3.5736019228339058,0.15511999999999992,-1.6736367903091558,1.5316934535586932,40.95669544108041,0.1512470527034164,-0.890292,0.0,8.685418598935367,0.0,-0.35817824496115624,-0.5747523873802545,8,8,0,0.0,KCL_EMSTAT_04.xlsx
16.349823359406567,0.4223383174205191,-0.508745,0.003309834890141808,3.4262934166058496,0.15511999999999992,-1.6287791422771587,1.340491964920488,40.58648791301405,0.09407486295236593,-0.890292,0.0,8.713933138504885,0.0,-0.40010232819099323,-0.571655799124719,8,8,0,0.0,KCL_EMSTAT_05.xlsx
15.74268782929741,0.26187846772162204,-0.590058,0.08267765180506759,3.390262813419786,0.15511999999999992,-1.660511202418374,1.4321796485422529,39.4742213893353,0.0812202578938685,-0.890292,0.0,8.360196758838583,0.0,-0.3658204038083325,-0.6007433636281867,8,8,0,0.0,KCL_EMSTAT_06.xlsx
16.362027493078067,0.5122954773536509,-0.6526064999999999,0.05787010903523509,3.439953186828906,0.15511999999999992,-1.6324833687972884,1.4721536358227114,38.84181590440113,0.552617337136836,-0.890292,0.0,8.089921153278683,0.0,-0.32078752585722115,-0.6201930087413494,8,8,0,0.0,KCL_EMSTAT_07.xlsx
15.90981480078011,0.3755866344002848,-0.5487759999999999,0.07013241370436352,3.390421906647064,0.15511999999999992,-1.6203353398044595,1.2791184880700257,39.29641944129236,0.14274362332980678,-0.890292,0.0,8.365828054813413,0.0,-0.38390245499630604,-0.5964658903848141,8,8,0,0.0,KCL_EMSTAT_08.xlsx
16.56299462835497,0.3913710465594706,-0.508745,0.003309834890141808,3.332943801337435,0.15511999999999992,-1.5252786598331383,1.0301078770941419,39.53367275333241,0.16703719480032855,-0.890292,0.0,8.498653234866389,0.0,-0.4161682396237123,-0.5813908653943795,8,8,0,0.0,KCL_EMSTAT_09.xlsx
17.008142672132028,0.334384374234303,-0.508745,0.003309834890141808,3.283261173177614,0.15511999999999992,-1.4361885731215478,0.8457307831599128,39.60906938647635,0.15040292902648641,-0.890292,0.0,8.538135624227012,0.0,-0.4300322675117891,-0.569962399076541,8,8,0,0.0,KCL_EMSTAT_10.xlsx
17.532893269642855,0.30766495961616763,-0.508745,0.003309834890141808,3.28807454740359,0.15511999999999992,-1.3420619717388615,0.6439447204490891,39.985021112729946,0.07660065637664015,-0.890292,0.0,8.659511827626522,0.0,-0.4407959111286395,-0.5700157837667779,8,8,0,0.0,KCL_EMSTAT_11.xlsx
17.654932225960493,0.3766841445313157,-0.508745,0.003309834890141808,3.23657281855944,0.15511999999999992,-1.2838531613005628,0.547425074071475,39.918500764912494,0.138604208950285,-0.890292,0.0,8.646842370502508,0.0,-0.44201523070951565,-0.5725460493876814,8,8,0,0.0,KCL_EMSTAT_12.xlsx
17.842681257030122,0.218602823378111,-0.508745,0.003309834890141808,3.3463397364288974,0.15511999999999992,-1.3097857947528766,0.5118839572786582,40.38792288396463,0.13674839903228697,-0.890292,0.0,8.719522784800017,0.0,-0.4123206366901798,-0.6056256980156763,8,8,0,0.0,KCL_EMSTAT_13.xlsx
17.591247019872835,0.2956506215414333,-0.508745,0.003309834890141808,3.2325127104172275,0.15511999999999992,-1.2869960607120432,0.5299840342870357,39.888338711737894,0.033861184734896195,-0.890292,0.0,8.602915436792623,0.0,-0.42326406080680956,-0.590583515118622,8,8,0,0.0,KCL_EMSTAT_14.xlsx
17.64907518869949,0.2880382018978931,-0.508745,0.003309834890141808,3.194519541105656,0.15511999999999992,-1.2574403263926526,0.5005608491678673,39.81676312718252,0.05529913593782535,-0.890292,0.0,8.592139583040712,0.0,-0.42804579806421916,-0.5902299555711648,8,8,0,0.0,KCL_EMSTAT_15.xlsx
