ppm,upper_Ip_mean,upper_Ip_std,upper_Ep_mean,upper_Ep_std,upper_Area_mean,upper_FWHM_mean,upper_skewness,upper_kurtosis,lower_Ip_mean,lower_Ip_std,lower_Ep_mean,lower_Ep_std,lower_Area_mean,lower_FWHM_mean,lower_skewness,lower_kurtosis
0,3.50889193777056,0.879283784111244,-0.6174999999999999,0.004330127018922197,0.1790654390259727,,-0.10335588542163468,0.5798005164601394,35.36824918438851,3.2563560644121057,-0.8,0.0,5.627631255176948,,0.7186643495431088,0.19044304971446135
0,3.369446454653693,0.4190363166549475,-0.51875,0.0033071891388307415,0.2010895271901141,0.05333333333333338,0.030757347005796215,-1.1903259438925637,26.43899481358224,1.0400055123873804,-0.795,0.007071067811865481,4.731200572853355,,0.9195494166772384,0.2986813805937298
0,3.5555629510822624,0.3075237363475305,-0.51875,0.0033071891388307415,0.21573579479545296,0.05500000000000005,-0.013326211717495456,-1.046789224067218,26.69903520012625,0.7949019112090925,-0.8,0.0,4.733800910007035,,0.9024801555636865,0.25729849495913515
0,3.6646510362193463,0.466182854808673,-0.52,0.0,0.22419321906673717,0.06333333333333335,-0.01829686108049504,-1.2207111763964253,26.848977284126974,0.7978823399936398,-0.8,0.0,4.771315065079005,,0.8908178943240748,0.23776188649747987
0,3.56903259898991,0.4806553239317256,-0.51875,0.0033071891388307415,0.23232825262734347,0.0666666666666667,-0.21061944919254133,-1.007752970472271,26.79860905111832,0.7579812290063848,-0.7987500000000001,0.0033071891388307415,4.739315130943726,,0.9007588676724796,0.2782902754079246
0,3.726410985714299,0.4186341149496384,-0.51875,0.005994789404140905,0.22568316975937835,0.06250000000000003,-0.021044629250547287,-1.0257186422739442,26.816873340241692,0.9492224879884219,-0.7987500000000001,0.0033071891388307415,4.745246516295636,,0.898523063560795,0.2605522230026593
0,3.5697525695526817,0.31376718370472284,-0.5162500000000001,0.0048412291827592754,0.2150367385429281,0.065,-0.0438951616268929,-1.047821765468027,26.898605818506482,0.9973872903938832,-0.7987500000000001,0.0033071891388307415,4.751673070431639,,0.9186975828474286,0.3240493215406683
0,3.7249452821789446,0.4551502188714945,-0.5162500000000001,0.0048412291827592754,0.22901353756998422,0.06250000000000003,-0.03731073844654993,-1.1873275585915102,26.937146994823227,1.0246981394031542,-0.7975000000000001,0.004330127018922197,4.771154656625003,,0.9098116310208302,0.28946695119899596
0,3.0957881878427154,0.3110593985526834,-0.51875,0.0033071891388307415,0.18848040868650612,0.0625,0.01287414915045576,-1.1001520810811343,27.6025516943813,0.8139821440097337,-0.7975000000000001,0.004330127018922197,4.931410773622476,,0.8801479839190738,0.21304751564246205
0,3.567685207323242,0.4030189525232721,-0.52,0.0,0.2266983022831874,0.06333333333333335,-0.12419794547078225,-1.155392583954594,27.07931240849566,0.8640596047498813,-0.7975000000000001,0.004330127018922197,4.829352828937411,,0.9088102860479337,0.28183491019469814
0,3.627875249855702,0.44199235467062464,-0.52,0.0050000000000000044,0.2260831373636348,0.065,-0.08573636312516679,-1.11578546477319,27.063809972853523,0.7924504131469969,-0.7962500000000001,0.006959705453537534,4.794808733027056,,0.9108553215035877,0.3156712778751165
0,3.714450591125558,0.2673452149268999,-0.51625,0.006959705453537534,0.21988421104148498,0.05333333333333338,0.048358513207250056,-1.266506977650519,26.697927812572136,0.7708592630130469,-0.7962500000000001,0.0048412291827592754,4.798632667664864,,0.9059783001138146,0.2459985362301051
0,3.799866027056297,0.3755116822583933,-0.5175000000000001,0.004330127018922197,0.22805376902236546,0.06333333333333335,0.011593715551415376,-1.2197293538231082,26.794649871590902,0.7913999001388173,-0.7962500000000001,0.006959705453537534,4.782597334672078,,0.9029539037640082,0.2669272500337632
0,4.628611059307367,0.3050857031298807,-0.5175000000000001,0.004330127018922197,0.283833205598123,,-0.058068461933320575,-1.2546141821385397,28.244749085624086,0.5767722797306858,-0.795,0.007071067811865481,5.142505581983045,,0.906644856802971,0.1867954404032151
0,4.66417268964647,0.326061675720255,-0.5175000000000001,0.004330127018922197,0.28206750732467406,0.06000000000000005,-0.028422932573254872,-1.295346275578841,27.014024526316724,0.6394374242254232,-0.7975000000000001,0.006614378277661483,4.855661176054833,,0.85907463279268,0.09203818486513232
0,4.385610103174612,0.22794181792937984,-0.5175000000000001,0.004330127018922197,0.2581517217604604,0.05500000000000005,0.05833129618449243,-1.3299751010087006,25.99354026857863,0.6920289599939946,-0.7987500000000001,0.0033071891388307415,4.616189837336399,,0.8797627185105683,0.21500316019096471
0,4.546694051226558,0.32770513185184086,-0.51625,0.0048412291827592754,0.28166731813852675,0.06333333333333335,-0.06430653216123124,-1.174479888490822,25.74335203964645,0.7726243528029259,-0.795,0.007071067811865481,4.549104879264069,,0.8545619676264324,0.16635095726773474
