iter	RMSE
0	0.8748851202
1	0.8543153974
2	0.8317147705
3	0.8116335342
4	0.793908074
5	0.7786929164
6	0.7584652869
7	0.7433844604
8	0.728630422
9	0.7144448985
10	0.6978624127
11	0.6835936932
12	0.6683367552
13	0.6538827166
14	0.6421609468
15	0.6312179116
16	0.6163038611
17	0.605068653
18	0.5923503508
19	0.5786171031
20	0.5675190447
21	0.5570138405
22	0.5442034139
23	0.5323399136
24	0.5204834782
25	0.5109970034
26	0.5013116419
27	0.4917318606
28	0.4831556455
29	0.4728751022
30	0.4651245557
31	0.4592600795
32	0.4522051529
33	0.4431766547
34	0.4359762471
35	0.4289594401
36	0.4204389771
37	0.4128867377
38	0.4042979445
39	0.3965388845
40	0.3885341711
41	0.3808132786
42	0.3732653793
43	0.3684841779
44	0.3612856954
45	0.3560941976
46	0.3502243473
47	0.3450644791
48	0.3389327961
49	0.3333569744
50	0.3266490972
51	0.3223905291
52	0.3175309793
53	0.3129339601
54	0.3095854212
55	0.3056200432
56	0.3018820523
57	0.2968937301
58	0.2925252275
59	0.2888904808
60	0.2844678494
61	0.2791061737
62	0.2754744215
63	0.2730601568
64	0.2697599872
65	0.2673986769
66	0.26241774
67	0.2588175692
68	0.2552853474
69	0.2539589365
70	0.2510849666
71	0.2493334133
72	0.2470054936
73	0.2442338199
74	0.2414562211
75	0.238033248
76	0.2359476405
77	0.232802599
78	0.2299551483
79	0.2273199063
80	0.2253934922
81	0.2228121771
82	0.2192089809
83	0.2175739551
84	0.2143484365
85	0.2130815891
86	0.2102073134
87	0.2085726351
88	0.2062776412
89	0.2033641252
90	0.2003686863
91	0.1976483214
92	0.1950989858
93	0.1925316005
94	0.191076608
95	0.189213324
96	0.1866046279
97	0.1847324308
98	0.1840355757
99	0.1827190053
100	0.1816748492
101	0.1788379893
102	0.1779450278
103	0.1771483737
104	0.1760587522
105	0.1737511193
106	0.171911276
107	0.1704945841
108	0.1693846217
109	0.1673147514
110	0.1663547258
111	0.1654583992
112	0.1629872464
113	0.1620529701
114	0.1607927581
115	0.1598883525
116	0.1578787884
117	0.1571449682
118	0.1561022004
119	0.1539115072
120	0.1529722541
121	0.1522157574
122	0.151289263
123	0.1495719686
124	0.1475764459
125	0.1458675792
126	0.1447565937
127	0.1431805983
128	0.1420963908
129	0.1411630652
130	0.1398408386
131	0.1392336324
132	0.1381959263
133	0.1372692401
134	0.1365451716
135	0.1350889568
136	0.1340599769
137	0.1324525805
138	0.1319735936
139	0.1309947373
140	0.1300294914
141	0.129564897
142	0.1284866757
143	0.1272368457
144	0.125521594
145	0.1251036907
146	0.1247366514
147	0.123971341
148	0.1232340036
149	0.1228601395
150	0.1212588608
151	0.120506771
152	0.1198630709
153	0.1190272362
154	0.1181398644
155	0.1175854888
156	0.1164486723
157	0.1158691828
158	0.1153073392
159	0.1148264905
160	0.1139111417
161	0.113255313
162	0.1124834376
163	0.1116321589
164	0.1106299863
165	0.110260285
166	0.1097483032
167	0.1089299041
168	0.1085039399
169	0.1078305636
170	0.1068081445
171	0.1063231602
172	0.104793531
173	0.1039857831
174	0.1035286299
175	0.1028477551
176	0.1022552473
177	0.1019134751
178	0.101291447
179	0.1007835237
180	0.09990180	0.0181	0.0994181	0.09182	0.0988182	0.09183	0.098183	0.09184	0.098184	0.092185	0.097185	0.091186	0.097186	0.091187	0.097187	0.091188	0.096188	0.091189	0.096189	0.090190	0.095190	0.0898152289
191	0.08907409045
192	0.08887323524
193	0.08839082381
194	0.088195	0.093195	0.087196	0.092196	0.08707649599
197	0.08643670742
198	0.08614107761
199	0.08555644152
200	0.08514681748
