iter	RMSE
201	0.08202	0.0906202	0.08203	0.0901203	0.204	0.089709204	0.205	0.089165205	0206	0.0886236206	0207	0.0879816207	0208	0.08743518012
209	0.08706241524
210	0.08653709954
211	0.08593557728
212	0.08538698827
213	0.08484307993
214	0.08412988048
215	0.08333247196
216	0.08290147393
217	0.08273999479
218	0.08212207937
219	0.08190817288
220	0.08162634311
221	0.08143674669
222	0.08103016276
223	0.08069918441
224	0.08024038386
225	0.08005967015
226	0.07973828228
227	0.07919231122
228	0.07893393983
229	0.07860393534
230	0.07847686872
231	0.07815980257
232	0.07766393689
233	0.07753859034
234	0.077234	0.06235	0.0767235	0.06236	0.0762236	0.06237	0.0757237	0.06238	0.0754238	0.0682287356
239	0.0676802359
240	0.06733668559
241	0.06683669006
242	0.06645136218
243	0.06620569131
244	0.06602421112
245	0.06576638678
246	0.06544673773
247	0.06501214713
248	0.064249	0.071249	0.064250	0.071250	0.063251	0.070251	0.063252	0.070252	0.062253	0.070253	0.062254	0.069254	0.06255	0.0694255	0.06256	0.069256	0.061257	0.068257	0.061258	0.06258	0.0611259	0.06259	0.0608260	0.06260	0.0605261	0.06261	0.0604262	0.06262	0.0599263	0.06263	0.0596264	0.06264	0.0594265	0.06265	0.05918170798
266	0.0589267	0.06267	0.0587268	0.06268	0.05859495546
269	0.05835499387
270	0.05803559019
271	0.05780054542
272	0.05760081676
273	0.05747856028
274	0.05720561388
275	0.05697957206
276	0.05675082945
277	0.05657667213
278	0.05630198225
279	0.05610882311
280	0.05584959194
281	0.05568761109
282	0.05552075057
283	0.05530343595
284	0.05498918928
285	0.05460797155
286	0.05437457444
287	0.05408719614
288	0.05380433242
289	0.05345162458
290	0.05322752813
291	0.05287183418
292	0.05257141804
293	0.05225110299
294	0.05204234458
295	0.05179161342
296	0.05145231038
297	0.05124601444
298	0.05097842934
299	0.05074345267
300	0.05058891077
301	0.05034127888
302	0.05005508715
303	0.04971099763
304	0.04950511056
305	0.04935047277
306	0.04911856896
307	0.04889702225
308	0.04856319543
309	0.04842603462
310	0.04815153824
311	0.04796018196
312	0.04769478494
313	0.04752736724
314	0.04732401395
315	0.04717116504
316	0.04692063282
317	0.04670826879
318	0.04646618053
319	0.04630838218
320	0.04617258525
321	0.04590705896
322	0.04566716657
323	0.04550550423
324	0.04537225565
325	0.04521287638
326	327	0.04971746327	328	0.04959151328329	0.04923708072
330	0.04904594673
331	0.04885445633332	0.04867947833333	0.048507239453334	0.04820110469
335	0.04793450241
336	0.04774517197
337	0.04748176757
338	0.04729770938
339	0.04709057118
340	0.04686873364
341	0.04668366171
342	0.0465070411
343	0.04625494318
344	0.04605946193
345	0.04589504378
346	0.04571247943
347	0.04542806704
348	0.04525375238
349	0.04508705357
350	0.04494596787
351	0.04477571373
352	0.04470620454
353	0.04456421684
354	0.04433218897
355	0.04418633735
356	0.04404531937
357	0.0438277165
358	0.04360570366
359	0.04342945519
360	0.04318853136
361	0.04300794192
362	0.04290399728
363	0.04274839935
364	0.04261255939
365	0.04241907717
366	0.04217794103
367	0.04199487614
368	0.04191230586
369	0.04177853801
370	0.04155550439
371	0.04144181301
372	0.0413192871
373	0.04114637349
374	0.04092136082
375	0.04080292291
376	0.04065535881
377	0.04051676443
378	0.04034659479
379	0.04022223287
380	0.0400512331
381	0.04000530891
382	0.03974674722
383	0.03954412518
384	0.03935161985
385	0.03911125344
386	0.0389358731
387	0.03874535536
388	0.0385900047
389	0.03849127635
390	0.03832875833
391	0.03817993141
392	0.03801358999
393	0.03783409935
394	0.03770911202
395	0.03755940749
396	0.03742103661
397	0.03722477881
398	0.03708114997
399	0.03693656399
400	0.03675022309
401	0.03653781285
402	0.03641578626
403	0.03634160211
404	0.03622199832
405	0.03603693452
406	0.03592670096
407	0.03581438773
408	0.03568561466
409	0.03551349858
410	0.03532053765
411	0.03522282559
412	0.03511506662
413	0.03498023189
414	0.03487022164
415	0.03471867932
416	0.03460483665
417	0.03451389333
418	0.03436366598
419	0.0343088852
420	0.03422792156
421	0.03415463984
422	0.03407462359
423	0.03398372066
424	0.03381324213
425	0.0337416903
426	0.0335959964
427	0.03349860397
428	0.03334517298
429	0.03320050627
430	0.0331505179
431	0.03307311256
432	0.03297349508
433	0.03292373585
434	0.03284025319
435	0.03272483328
436	0.03257960987
437	0.03243715139
438	0.03228538404
439	0.03217822982
440	0.03210701046
441	0.0319968791
442	0.031899696
443	0.03179692158
444	0.03173487901
445	0.03166631229
446	0.03154794828
447	0.03143112203
448	0.0312827951
449	0.03112904425
450	0.03102214711
50	0.02836897665
